   GoodVibes v3.0.1 2023/07/26 15:37:14
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-128-3_reactant_2,-244.503593,-244.446025,0.035837,-244.463066,0.027436,0.027437,-244.490502,-244.490503,
o  ts-129-2_reactant_1,-961.209755,-961.206786,0.186038,-961.010168,0.050555,0.048791,-961.060723,-961.058958,
o  ts-129-2_reactant_2,-244.503911,-244.446324,0.035837,-244.463365,0.027465,0.027466,-244.490830,-244.490831,
o  ts-1-2_reactant_1,-349.189106,-349.186067,0.170165,-349.008055,0.042516,0.041797,-349.050571,-349.049852,
o  ts-1-2_reactant_2,-244.504084,-244.446496,0.035752,-244.463627,0.027463,0.027464,-244.491089,-244.491091,
o  ts-130-1_reactant_1,-921.895030,-921.890369,0.158905,-921.724027,0.046988,0.045778,-921.771015,-921.769805,
o  ts-130-1_reactant_2,-244.502884,-244.445533,0.035800,-244.462389,0.027445,0.027446,-244.489834,-244.489835,
o  ts-131-3_reactant_1,-977.277094,-977.272143,0.175936,-977.087914,0.049267,0.048021,-977.137180,-977.135935,
o  ts-131-3_reactant_2,-244.503182,-244.445735,0.035853,-244.462644,0.027427,0.027429,-244.490071,-244.490072,
o  ts-13-1_reactant_1,-1016.599798,-1016.596498,0.203106,-1016.381731,0.054051,0.051957,-1016.435782,-1016.433687,
o  ts-13-1_reactant_2,-244.504333,-244.446695,0.035749,-244.463874,0.027471,0.027473,-244.491346,-244.491347,
o  ts-132-3_reactant_1,-1016.584393,-1016.580016,0.203466,-1016.366087,0.052964,0.051519,-1016.419051,-1016.417606,
o  ts-132-3_reactant_2,-244.502980,-244.445574,0.035857,-244.462440,0.027423,0.027424,-244.489863,-244.489864,
o  ts-133-3_reactant_1,-1208.325726,-1208.321318,0.255541,-1208.052284,0.061572,0.058410,-1208.113855,-1208.110694,
o  ts-133-3_reactant_2,-244.503484,-244.445969,0.035852,-244.462940,0.027437,0.027438,-244.490377,-244.490378,
o  ts-134-3_reactant_1,-1055.880311,-1055.876266,0.231220,-1055.633200,0.054936,0.053358,-1055.688136,-1055.686558,
