   GoodVibes v3.0.1 2023/07/26 15:35:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-16-1_reactant_2,-0.100756,-0.041526,0.039278,-0.056974,0.027156,0.027157,-0.084130,-0.084131,
o  ts-162-1_reactant_1,-0.048128,-0.045455,0.119272,0.079305,0.036355,0.035997,0.042949,0.043308,
o  ts-162-1_reactant_2,-0.099480,-0.040320,0.039187,-0.055783,0.027167,0.027168,-0.082950,-0.082951,
o  ts-163-2_reactant_1,-0.055387,-0.051228,0.137169,0.090889,0.038590,0.038196,0.052298,0.052693,
o  ts-163-2_reactant_2,-0.094937,-0.035991,0.038908,-0.051501,0.027199,0.027200,-0.078700,-0.078701,
o  ts-164-2_reactant_1,-0.049785,-0.046279,0.164752,0.125805,0.043263,0.042304,0.082542,0.083501,
o  ts-164-2_reactant_2,-0.095143,-0.036180,0.038920,-0.051695,0.027198,0.027200,-0.078893,-0.078894,
o  ts-165-1_reactant_1,0.000055,0.003830,0.220822,0.234409,0.050656,0.048834,0.183753,0.185575,
o  ts-165-1_reactant_2,-0.095520,-0.036520,0.038945,-0.052047,0.027198,0.027200,-0.079245,-0.079246,
o  ts-166-1_reactant_1,-0.039218,-0.036123,0.192685,0.165632,0.046193,0.045128,0.119440,0.120504,
o  ts-166-1_reactant_2,-0.097332,-0.038318,0.039068,-0.053750,0.027175,0.027176,-0.080925,-0.080926,
o  ts-167-1_reactant_1,-0.134098,-0.131539,0.152684,0.029448,0.044485,0.042728,-0.015037,-0.013280,
o  ts-167-1_reactant_2,-0.101383,-0.042123,0.039316,-0.057567,0.027151,0.027152,-0.084717,-0.084718,
o  ts-168-1_reactant_1,-0.002862,0.000011,0.203231,0.212768,0.047512,0.046236,0.165256,0.166532,
o  ts-168-1_reactant_2,-0.101095,-0.041854,0.039305,-0.057289,0.027152,0.027153,-0.084442,-0.084443,
o  ts-169-2_reactant_1,-0.063812,-0.061649,0.110103,0.055427,0.039805,0.039029,0.015622,0.016397,
o  ts-169-2_reactant_2,-0.104739,-0.045240,0.039532,-0.060712,0.027139,0.027140,-0.087851,-0.087852,
o  ts-170-1_reactant_1,-0.054352,-0.052174,0.081948,0.035344,0.036393,0.036034,-0.001050,-0.000690,
o  ts-170-1_reactant_2,-0.105220,-0.045652,0.039562,-0.061163,0.027138,0.027139,-0.088301,-0.088302,
