   GoodVibes v3.0.1 2023/07/26 15:58:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-246-1,-0.145804,-0.099140,0.187343,0.058607,0.059541,0.056897,-0.000934,0.001710,
o  ts-247-1,-0.241515,-0.184245,0.147263,-0.078303,0.059108,0.055399,-0.137411,-0.133702,
o  ts-248-1,-0.106090,-0.060117,0.198028,0.108977,0.059600,0.057052,0.049377,0.051926,
o  ts-249-1,-0.165648,-0.113618,0.104470,-0.046841,0.054791,0.051963,-0.101632,-0.098803,
o  ts-250-1,-0.157898,-0.104092,0.076276,-0.068666,0.052341,0.049378,-0.121006,-0.118043,
o  ts-251-2,-0.171465,-0.124508,0.094749,-0.063293,0.051023,0.049448,-0.114316,-0.112741,
o  ts-25-1,-0.111166,-0.064392,0.272563,0.179293,0.061324,0.058125,0.117969,0.121168,
o  ts-252-2,-0.165191,-0.118287,0.122346,-0.027650,0.055787,0.053392,-0.083437,-0.081041,
o  ts-253-1,-0.114424,-0.070024,0.178173,0.081776,0.063668,0.059774,0.018108,0.022002,
o  ts-254-1,-0.150736,-0.099468,0.149966,0.016109,0.060185,0.057067,-0.044076,-0.040958,
o  ts-255-2,-0.238121,-0.180964,0.109978,-0.112538,0.059544,0.055217,-0.172082,-0.167755,
o  ts-256-1,-0.111070,-0.058543,0.160371,0.066427,0.061489,0.057948,0.004938,0.008479,
o  ts-257-2,-0.150991,-0.097470,0.103717,-0.032585,0.056475,0.053360,-0.089060,-0.085945,
o  ts-258-2,-0.142505,-0.092098,0.075793,-0.053830,0.051403,0.049403,-0.105233,-0.103233,
o  ts-259-2,-0.156531,-0.108695,0.094115,-0.048727,0.052364,0.050641,-0.101091,-0.099368,
o  ts-260-2,-0.150160,-0.102414,0.121653,-0.013029,0.057095,0.054576,-0.070124,-0.067605,
o  ts-261-1,-0.099224,-0.053939,0.177475,0.096536,0.064637,0.060707,0.031899,0.035829,
o  ts-26-1,-0.104359,-0.058898,0.244900,0.156874,0.057051,0.054788,0.099823,0.102086,
o  ts-262-1,-0.136366,-0.082772,0.149236,0.030087,0.061718,0.058315,-0.031631,-0.028229,
o  ts-263-2,-0.223220,-0.164412,0.109232,-0.098034,0.061050,0.056523,-0.159085,-0.154558,
o  ts-264-1,-0.096368,-0.041965,0.159650,0.080729,0.062998,0.059135,0.017731,0.021593,
o  ts-265-2,-0.109856,-0.062466,0.197735,0.105153,0.060175,0.057503,0.044978,0.047650,
