   GoodVibes v3.0.1 2023/07/27 11:50:08
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  gs_di_1762,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1763,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1764,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1765,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1766,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1767,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1768,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1769,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_737,0.155271,0.053438,0.213559,0.032073,0.032075,0.181486,0.181484,
o  gs_di_738,0.155271,0.053438,0.213559,0.032073,0.032075,0.181486,0.181484,
o  gs_di_739,0.155271,0.053438,0.213559,0.032073,0.032075,0.181486,0.181484,
o  gs_di_740,0.155271,0.053438,0.213559,0.032073,0.032075,0.181486,0.181484,
o  gs_di_741,0.155271,0.053438,0.213559,0.032073,0.032075,0.181486,0.181484,
o  gs_di_742,0.155271,0.053438,0.213559,0.032073,0.032075,0.181486,0.181484,
o  gs_di_743,0.143344,0.081397,0.231308,0.037226,0.036335,0.194082,0.194973,
o  gs_di_744,0.101131,0.086861,0.195274,0.038247,0.038056,0.157027,0.157218,
o  gs_di_745,0.220085,0.053520,0.279945,0.036211,0.036197,0.243735,0.243749,
o  gs_di_746,0.143344,0.081397,0.231308,0.037226,0.036335,0.194082,0.194973,
o  gs_di_747,0.143344,0.081397,0.231308,0.037226,0.036335,0.194082,0.194973,
o  gs_di_748,0.143344,0.081397,0.231308,0.037226,0.036335,0.194082,0.194973,
o  gs_di_749,0.143344,0.081397,0.231308,0.037226,0.036335,0.194082,0.194973,
o  gs_di_750,0.143344,0.081397,0.231308,0.037226,0.036335,0.194082,0.194973,
o  gs_di_751,0.101131,0.086861,0.195274,0.038247,0.038056,0.157027,0.157218,
o  gs_di_752,0.101131,0.086861,0.195274,0.038247,0.038056,0.157027,0.157218,
o  gs_di_753,0.101131,0.086861,0.195274,0.038247,0.038056,0.157027,0.157218,
o  gs_di_754,0.101131,0.086861,0.195274,0.038247,0.038056,0.157027,0.157218,
o  gs_di_755,0.101131,0.086861,0.195274,0.038247,0.038056,0.157027,0.157218,
o  gs_di_756,0.220085,0.053520,0.279945,0.036211,0.036197,0.243735,0.243749,
