   GoodVibes v3.0.1 2024/04/16 15:40:52
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts_160_am1_reopt_reactant_1,0.070860,0.079290,0.259098,0.344980,0.054877,0.052269,0.290103,0.292711,
o  ts_160_am1_reopt_reactant_2,-0.400561,-0.306501,0.122745,-0.267761,0.042101,0.041415,-0.309862,-0.309176,
o  ts_161_am1_reopt_reactant_1,-0.045010,-0.038993,0.147469,0.111794,0.039082,0.038749,0.072711,0.073044,
o  ts_161_am1_reopt_reactant_2,-0.403794,-0.309692,0.122866,-0.270905,0.041929,0.041344,-0.312834,-0.312249,
o  ts_162_am1_reopt_reactant_1,-0.037518,-0.031589,0.119069,0.089588,0.035849,0.035710,0.053740,0.053878,
o  ts_162_am1_reopt_reactant_2,-0.405091,-0.311080,0.122917,-0.272153,0.041929,0.041343,-0.314082,-0.313496,
o  ts_163_am1_reopt_2_reactant_1,-0.051359,-0.042158,0.137083,0.094799,0.038501,0.038107,0.056298,0.056692,
o  ts_163_am1_reopt_2_reactant_2,-0.403537,-0.308482,0.122903,-0.270583,0.042178,0.041461,-0.312762,-0.312044,
o  ts_164_am1_reopt_reactant_1,-0.041368,-0.033742,0.164796,0.134029,0.042407,0.041778,0.091623,0.092251,
o  ts_164_am1_reopt_reactant_2,-0.401775,-0.308002,0.122799,-0.268917,0.042137,0.041432,-0.311053,-0.310348,
o  ts_165_am1_reopt_2_reactant_1,0.006943,0.015650,0.220643,0.240996,0.050171,0.048551,0.190824,0.192444,
o  ts_165_am1_reopt_2_reactant_2,-0.404318,-0.309362,0.122888,-0.271368,0.042100,0.041450,-0.313469,-0.312818,
o  ts_166_am1_reopt_reactant_1,-0.027534,-0.021130,0.192773,0.177146,0.045345,0.044528,0.131801,0.132618,
o  ts_166_am1_reopt_reactant_2,-0.404123,-0.310519,0.122961,-0.271143,0.041996,0.041343,-0.313139,-0.312486,
o  ts_167_am1_reopt_reactant_1,-0.123889,-0.118378,0.152752,0.039432,0.042656,0.041886,-0.003224,-0.002454,
o  ts_167_am1_reopt_reactant_2,-0.406463,-0.311796,0.123006,-0.273432,0.042038,0.041386,-0.315470,-0.314817,
o  ts_168_am1_reopt_reactant_1,0.006121,0.012722,0.202706,0.220495,0.045716,0.044726,0.174779,0.175769,
o  ts_168_am1_reopt_reactant_2,-0.406201,-0.312581,0.123069,-0.273139,0.041914,0.041287,-0.315053,-0.314426,
o  ts_169_am1_reopt_2_reactant_1,-0.051850,-0.047233,0.109914,0.067112,0.039595,0.038820,0.027517,0.028291,
o  ts_169_am1_reopt_2_reactant_2,-0.406500,-0.312936,0.123081,-0.273411,0.041979,0.041321,-0.315390,-0.314733,
o  ts_16_am1_reopt_reactant_1,0.001166,0.007653,0.193535,0.208213,0.051880,0.049425,0.156333,0.158788,
o  ts_16_am1_reopt_reactant_2,-0.405020,-0.311464,0.122982,-0.272034,0.041952,0.041307,-0.313985,-0.313341,
o  ts_170_am1_reopt_reactant_1,-0.042550,-0.037859,0.081651,0.046829,0.036620,0.035976,0.010209,0.010853,
o  ts_170_am1_reopt_reactant_2,-0.406769,-0.313221,0.123092,-0.273672,0.041968,0.041315,-0.315641,-0.314987,
o  ts_171_am1_reopt_reactant_1,-0.052494,-0.044790,0.099562,0.055680,0.038185,0.037778,0.017495,0.017902,
o  ts_171_am1_reopt_reactant_2,-0.406096,-0.312360,0.123044,-0.273067,0.041834,0.041258,-0.314901,-0.314325,
