   GoodVibes v3.0.1 2023/07/27 10:06:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  ts_1662,0.268312,0.201435,0.482853,0.052848,0.050987,0.430005,0.431866,
o  ts_1663,0.154646,0.136822,0.301000,0.042903,0.042729,0.258097,0.258271,
o  ts_1664,0.117844,0.141535,0.270212,0.046627,0.045927,0.223586,0.224286,
o  ts_1665,0.167839,0.126082,0.303339,0.042665,0.042463,0.260673,0.260876,
o  ts_1666,0.162165,0.099854,0.271041,0.042662,0.042378,0.228379,0.228663,
o  ts_1667,0.206782,0.192255,0.411652,0.051952,0.050165,0.359701,0.361487,
o  ts_1668,0.186910,0.107786,0.302921,0.040663,0.040626,0.262259,0.262295,
o  ts_1669,0.175363,0.136069,0.321211,0.044322,0.044078,0.276889,0.277133,
o  ts_1670,0.138560,0.140751,0.290389,0.048009,0.047222,0.242379,0.243167,
o  ts_1671,0.188808,0.125321,0.323785,0.044040,0.043790,0.279745,0.279996,
o  ts_1672,0.183048,0.099066,0.291386,0.044066,0.043688,0.247320,0.247697,
o  ts_1673,0.227653,0.191469,0.432001,0.053398,0.051429,0.378603,0.380572,
o  ts_1674,0.100570,0.110597,0.218800,0.037939,0.037947,0.180861,0.180853,
o  ts_1675,0.088498,0.138919,0.236580,0.041581,0.041456,0.194999,0.195124,
o  ts_1676,0.051649,0.143636,0.205760,0.045367,0.044712,0.160393,0.161048,
o  ts_1677,0.101414,0.128192,0.238662,0.041373,0.041214,0.197289,0.197448,
o  ts_1678,0.095901,0.101960,0.206517,0.041366,0.041148,0.165150,0.165369,
o  ts_1679,0.140663,0.194392,0.347283,0.050624,0.048976,0.296660,0.298308,
o  ts_1680,0.178956,0.181597,0.370712,0.043851,0.043593,0.326861,0.327119,
